"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","temp_id","yearRecorded","protectedArea","IUCN_CAT","OECM","protectedAreaType","GOV_TYPE","OWNER_E","IUCN_Categ","decimalLatitude","decimalLongitude"
"Acer circinatum","Pursh",48258,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","",NA,"Sapindaceae","Acer",NA,"Acer circinatum","","species","iNaturalist","Observations","173115719","","https://www.inaturalist.org/observations/173115719","Noland Martin","",NA,"2023-07-15",2023,7,15,"Human Observation","",NA,NA,"British Columbia","Canada","CA",8,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,693,2023,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.674847367,-123.1558923888
"Betula occidentalis","Hook.",75764,"Plantae","Tracheophyta","Magnoliopsida","Fagales","",NA,"Betulaceae","Betula",NA,"Betula occidentalis","","species","iNaturalist","Observations","173115931","","https://www.inaturalist.org/observations/173115931","Noland Martin","",NA,"2023-07-15",2023,7,15,"Human Observation","",NA,NA,"British Columbia","Canada","CA",1,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2019)",NA,"",NA,NA,NA,NA,NA,9802,2023,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.6749279227,-123.1557968926
"Corallorhiza mertensiana","Bong",49444,"Plantae","Tracheophyta","Liliopsida","Asparagales","",NA,"Orchidaceae","Corallorhiza",NA,"Corallorhiza mertensiana","","species","iNaturalist","Observations","231329333","","https://www.inaturalist.org/observations/231329333","Eva van Emden","",NA,"2024-07-23",2024,7,23,"Human Observation","",NA,NA,"British Columbia","Canada","CA",28,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,15226,2024,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.6735277778,-123.1467361111
"Corallorhiza mertensiana","Bong",49444,"Plantae","Tracheophyta","Liliopsida","Asparagales","",NA,"Orchidaceae","Corallorhiza",NA,"Corallorhiza mertensiana","","species","iNaturalist","Observations","6033002","","https://www.inaturalist.org/observations/6033002","judith holm","",NA,"2014-06-17",2014,6,17,"Human Observation","",NA,NA,"British Columbia","Canada","CA",85,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,15283,2014,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.674005,-123.149958
"Gaultheria shallon","Pursh",48441,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Gaultheria",NA,"Gaultheria shallon","","species","iNaturalist","Observations","61171528","","https://www.inaturalist.org/observations/61171528","Kathy","",NA,"2020-08-08",2020,8,8,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"L",NA,NA,NA,NA,NA,23235,2020,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.6741,-123.150025
"Gaultheria shallon","Pursh",48441,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Gaultheria",NA,"Gaultheria shallon","","species","iNaturalist","Observations","61171528","","https://www.inaturalist.org/observations/61171528","Kathy","",NA,"2020-08-08",2020,8,8,"Human Observation","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,24003,2020,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.6741,-123.150025
"Gaultheria shallon","Pursh",48441,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Gaultheria",NA,"Gaultheria shallon","","species","iNaturalist","Observations","217178250","","https://www.inaturalist.org/observations/217178250","osablanca","",NA,"2024-05-20",2024,5,20,"Human Observation","",NA,NA,"British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,24405,2024,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.6740666667,-123.1500694444
"Goodyera oblongifolia","Raf.",50719,"Plantae","Tracheophyta","Liliopsida","Asparagales","",NA,"Orchidaceae","Goodyera",NA,"Goodyera oblongifolia","","species","iNaturalist","Observations","6160897","","https://www.inaturalist.org/observations/6160897","judith holm","",NA,"2014-06-03",2014,6,3,"Human Observation","",NA,NA,"British Columbia","Canada","CA",85,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,25858,2014,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.673949,-123.149765
"Monotropa hypopitys","L.",59986,"Plantae","Tracheophyta","Magnoliopsida","Ericales","",NA,"Ericaceae","Monotropa",NA,"Monotropa hypopitys","","species","iNaturalist","Observations","129771227","","https://www.inaturalist.org/observations/129771227","Tiffany Brunke","",NA,"2022-07-13",2022,7,13,"Human Observation","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2001)",NA,"",NA,NA,NA,NA,NA,37053,2022,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.672845,-123.1417528333
"Pteridium aquilinum var. pubescens","(L.) Kuhn",52684,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","",NA,"Dennstaedtiaceae","Pteridium",NA,"Pteridium aquilinum","pubescens","varietas","iNaturalist","Observations","217836557","","https://www.inaturalist.org/observations/217836557","athall","",NA,"2024-05-23",2024,5,23,"Human Observation","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"",NA,NA,NA,NA,NA,48326,2024,"Stawamus Chief Protected Area","III","No","Protected Area","Sub-national Government","Government of British Columbia","III",49.6740833333,-123.1501305
